location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,price_per_meter
Москва,sale,flat,12,15,1,52.6,22080277.0,Останкинский,проспект Мира,95,Алексеевская,Hill8,,,,,,,,419777.1292775665
Москва,sale,flat,16,25,1,34.0,9700000.0,,,7,Ольховая,,,,,,,,,285294.1176470588
Москва,sale,flat,2,22,1,31.4,17903652.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE,,,,,,,,570180.0
Москва,sale,flat,37,37,2,48.0,42500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,,,,,,,885416.6666666666
Москва,sale,flat,2,14,3,142.1,309370000.0,Якиманка,,,Полянка,Лаврушинский ЖК,,,,,,,,2177128.782547502
Москва,sale,flat,4,8,4,132.0,91000000.0,Мещанский,Большой Сухаревский переулок,11,Сухаревская,,,,,,,,,689393.9393939395
Москва,sale,flat,6,13,3,75.37,41550880.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК,,,,,,,,551292.0260050418
Москва,sale,flat,5,21,3,119.0,112000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,,,,,,,941176.4705882353
Москва,sale,flat,7,18,3,84.9,60621401.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,,,,,,,,714032.9917550058
Москва,sale,flat,5,24,5,182.0,145000000.0,Раменки,Ломоносовский проспект,25к3,Университет,Dominion,,,,,,,,796703.2967032967
Москва,sale,flat,3,13,1,35.3,14768813.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,,,,,,,,418379.97167138814
Москва,sale,flat,22,53,3,153.0,167970000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,,,,,,,,1097843.137254902
Москва,sale,flat,2,18,3,118.1,134761000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,,,,,,,1141075.3598645215
Москва,sale,flat,5,6,5,247.7,285000000.0,Пресненский,Никитский бульвар,15/16,Арбатская,,,,,,,,,1150585.3855470328
Москва,sale,flat,25,32,3,83.7,,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe,,,,,,,,
Москва,sale,flat,4,12,-1,298.93,750000000.0,Хамовники,Трубецкая ,10,Фрунзенская,Дом на Трубецкой,,,,,,,,2508948.5832803664
Москва,sale,flat,4,15,3,112.49,85627388.0,Даниловский, Серпуховский Вал,7,Тульская,Дом 7 Даниловский,,,,,,,,761200.0
Москва,sale,flat,3,15,2,58.54,61000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky,,,,,,,,1042022.5486846601
Москва,sale,flat,5,21,3,78.6,32996280.0,Лефортово,,,Площадь Ильича,Символ ЖК,,,,,,,,419800.00000000006
Москва,sale,flat,35,40,3,100.0,94350000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,,,,,,,,943500.0
Москва,sale,flat,4,27,2,65.91,44571000.0,Крылатское,Крылатская ,23,Молодёжная,Дом Горизонтов,,,,,,,,676240.3277196178
Москва,sale,flat,30,37,5,216.4,130000000.0,Тропарево-Никулино,проспект Вернадского,94к1,Тропарёво,Миракс Парк,,,,,,,,600739.371534196
Москва,sale,flat,3,11,3,85.9,77617693.0,Даниловский,,,Павелецкая,Опус ЖК,,,,,,,,903581.9906868452
