location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,house_material_type,living_meters,kitchen_meters
Московская область,sale,flat,24,44,3,137.0,125000000.0,Раменки,Минская ,2,Минская,Долина Сетунь,2017.0,Кирпичный,89 м²,10 м²
Московская область,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023.0,Монолитно-кирпичный,109 м²,10 м²
Московская область,sale,flat,4,5,3,115.0,98000000.0,Хамовники,Кропоткинский переулок,23,Парк Культуры,Lucky,2021.0,Монолитно-кирпичный,82 м²,15 м²
Московская область,sale,flat,3,9,4,287.0,350000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021.0,Монолитный,-1,"16,2 м²"
Московская область,sale,flat,10,17,2,52.2,9890000.0,Пресненский, Свердлова,50,Щёлковская,Lucky,2006.0,Монолитно-кирпичный,"35,5 м²","9,6 м²"
Московская область,sale,flat,4,5,1,40.17,14461200.0,Вахитовский,Ленинградский проспект,23,Кремлёвская,Дом на Исхаки ЖК,2026.0,Монолитно-кирпичный,"13,4 м²","11,6 м²"
Московская область,sale,flat,4,38,2,65.0,23000000.0,Ростокино,проспект Мира,23,Ростокино,Триколор,2015.0,Монолитный,40 м²,15 м²
Московская область,sale,flat,19,32,1,32.2,25000000.0,Пресненский,Шмитовский проезд,23,Шелепиха,Headliner,2019.0,Монолитный,-1,7 м²
Московская область,sale,flat,2,8,1,37.77,11535739.0,Вахитовский,Ленинградский проспект,23,Площадь Тукая,Яналиф ЖК,2027.0,Монолитно-кирпичный,"17,3 м²",-1
Московская область,sale,flat,7,21,2,62.0,30000000.0,Свиблово,Сельскохозяйственная ,23,Ботанический сад,LIFE-Ботанический сад,2020.0,Кирпичный,39 м²,11 м²
Московская область,sale,flat,7,36,2,84.3,57000000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2021.0,Панельный,30 м²,40 м²
Московская область,sale,flat,5,6,2,94.0,99000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,2017.0,Монолитный,-1,-1
Московская область,sale,flat,3,20,2,60.5,15605975.0,Приволжский,Ленинградский проспект,23,Аметьево,Фриссон ЖК,2027.0,Панельный,-1,-1
Московская область,sale,flat,2,8,2,77.2,110000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,2019.0,Монолитно-кирпичный,-1,-1
Московская область,sale,flat,5,18,2,39.9,22500000.0,Левобережный,Фестивальная ,23,Речной вокзал,Фестиваль парк-2,2023.0,Монолитно-кирпичный,8 м²,20 м²
Московская область,sale,flat,4,6,1,35.1,23000000.0,Басманный, Покровка,23,Курская,Lucky,1902.0,Монолитно-кирпичный,-1,-1
Московская область,sale,flat,3,12,2,65.6,82000000.0,Раменки,Мосфильмовская ,23,Ломоносовский проспект,Вишневый сад,2020.0,Панельный,-1,30 м²
Московская область,sale,flat,11,12,1,33.5,8000000.0,Чертаново Южное,3-й Дорожный проезд,23,Улица Академика Янгеля,Lucky,1972.0,Монолитный,17 м²,7 м²
Московская область,sale,flat,13,25,1,42.3,9500000.0,Пресненский, Рождественская,11,Медведково,Ньютон,2014.0,Монолитно-кирпичный,-1,10 м²
Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,23,Приморская,Lucky,1974.0,Монолитно-кирпичный,-1,8 м²
Московская область,sale,flat,10,17,1,41.0,9700000.0,Пресненский,Ленинградский проспект,20,Бачуринская,Lucky,2011.0,Монолитно-кирпичный,16 м²,10 м²
Московская область,sale,flat,12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2021.0,Монолитный,63 м²,16 м²
Московская область,sale,flat,5,28,-1,31.0,16200000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,2021.0,Монолитно-кирпичный,17 м²,8 м²
Московская область,sale,flat,4,9,3,70.0,32000000.0,Ломоносовский,Ленинский проспект,23,Новаторская,Lucky,1960.0,Монолитный,-1,10 м²
Московская область,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,Luce - фамильный дом,2026.0,Монолитно-кирпичный,"28,9 м²","25,2 м²"
Московская область,sale,flat,5,7,3,172.26,452748561.0,Хамовники, Ефремова,23,Спортивная,Knightsbridge Private Park,2015.0,Панельный,-1,15 м²
Московская область,sale,flat,21,24,1,40.8,30000000.0,Хорошевский,Хорошевское шоссе,23,Полежаевская,Династия,2022.0,Кирпичный,"25,8 м²",10 м²
Московская область,sale,flat,3,26,1,25.7,5100000.0,Пресненский, Солнечная,2,Люберцы,Облака 2.0,2023.0,Панельный,"12,9 м²","3,6 м²"
Московская область,sale,flat,8,9,1,40.4,17652698.0,Красногвардейский, Стахановцев,1,Новочеркасская,"Малоохтинский, 68",2024.0,"Монолитно-кирпичный, монолитный","11,8 м²","15,7 м²"
Московская область,sale,flat,17,33,1,23.4,7600000.0,Пресненский, Сосновая,23,Котельники,Lucky,2022.0,Монолитно-кирпичный,-1,4 м²
Московская область,sale,flat,2,16,1,22.64,6350000.0,Молжаниновский,Ленинградское шоссе,23,Новоподрезково,Молжаниново,2024.0,Кирпичный,"11,1 м²","3,6 м²"
Московская область,sale,flat,7,9,1,32.44,5155040.0,Колпинский,Заречье тер.,23,Рыбацкое,Квартал Заречье,2026.0,Монолитный,"12,3 м²",11 м²
Московская область,sale,flat,33,41,1,46.0,21000000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2024.0,Монолитный,18 м²,23 м²
Московская область,sale,flat,2,12,1,41.0,11700000.0,Соколиная гора,Вольная ,4,Семёновская,Lucky,1960.0,Монолитный,21 м²,10 м²
Московская область,sale,flat,2,25,1,29.9,7200000.0,Пресненский,Юбилейный проспект,68,Никольское,Новокосино-2,2021.0,Панельный,-1,8 м²
Московская область,sale,flat,7,16,1,24.0,9450000.0,Пресненский, Сальвадора Дали,23,Прокшино,Lucky,2022.0,Монолитный,15 м²,9 м²
Московская область,sale,flat,2,17,1,35.78,8766100.0,Советский,ПК1-2,23,Горки,Мой Ритм ЖК,2026.0,"Монолитно-кирпичный, монолитный","15,9 м²","9,6 м²"
Московская область,sale,flat,9,17,1,36.8,7600000.0,Пресненский, Декабристов,8,ВДНХ,На высоте,2021.0,Кирпичный,18 м²,10 м²
