location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters
Московская область,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,23.840736040609137,,,1928,-1.0,-1,-1.0,-1,49 м²,7 м²
Московская область,sale,flat,24,44,3,137.0,125000000.0,Раменки,Минская ,2.0,Минская,Долина Сетунь,2017,-1.0,-1,-1.0,-1,89 м²,10 м²
Московская область,sale,flat,2,11,3,80.78,10194436.0,Прикубанский, Даниила Смоляна,23.840736040609137,,Южане,2021,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, черновая, чистовая","37,5 м²","18,6 м²"
Московская область,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16.0,Улица 1905 года,Lucky,2023,-1.0,-1,-1.0,-1,109 м²,10 м²
Московская область,sale,flat,4,5,3,115.0,98000000.0,Хамовники,Кропоткинский переулок,23.840736040609137,Парк Культуры,,-1,-1.0,-1,-1.0,-1,82 м²,15 м²
Московская область,sale,flat,3,9,4,287.0,350000000.0,Хамовники,Саввинская набережная,13.0,Киевская,SAVVIN RIVER RESIDENCE,2021,-1.0,-1,-1.0,-1,-1,"16,2 м²"
Московская область,sale,flat,3,18,3,79.2,12299760.0,,Ленинградский проспект,23.840736040609137,,Эрмитаж,2027,-1.0,-1,-1.0,Предчистовая,"37,9 м²","21,3 м²"
Московская область,sale,flat,3,6,2,236.0,130000000.0,,Ленинградский проспект,23.840736040609137,,Жуковка Шале,-1,-1.0,-1,-1.0,-1,-1,-1
Московская область,sale,flat,10,17,2,52.2,9890000.0,, Свердлова,50.0,Щёлковская,,2006,-1.0,-1,-1.0,-1,"35,5 м²","9,6 м²"
Московская область,sale,flat,11,17,1,21.0,9905700.0,Адлерский,Ленинградский проспект,23.840736040609137,,Лестория,2026,-1.0,-1,-1.0,Без отделки,9 м²,"4,4 м²"
